지명,도로명�,지번주�,위도,경도,활동지�,NUMPOINTS,chr_count
기흥구청,경기도 용인시 기흥구 관곡로 95,경기도 용인시 기흥구 구갈동 355번지,37.280129410000001,127.114659200000006,직장(업무시설),8989.655000000000655,0.000000000000000
(주)녹십자사옥,경기도 용인시 기흥구 이현로30번길 107,경기도 용인시 기흥구 보정동 303번지,37.318398729999998,127.101302099999998,직장(업무시설),5574.033000000000357,4.000000000000000
전형도,경기도 용인시 기흥구 관곡로 96,경기도 용인시 기흥구 구갈동 354-3번지,37.279959560000002,127.113215600000004,직장(업무시설),10024.170000000000073,0.000000000000000
한전기술정보센터,경기도 용인시 기흥구 용구대로 2354,경기도 용인시 기흥구 마북동 360-9번지,37.296874840000001,127.109913199999994,직장(업무시설),2214.546999999999571,0.000000000000000
청룡빌딩,경기도 용인시 기흥구 동탄기흥로 697,경기도 용인시 기흥구 고매동 696-1번지,37.222243980000002,127.097661700000003,직장(업무시설),974.723999999999819,0.000000000000000
중소기업은행,경기도 용인시 수지구 신수로 799,경기도 용인시 수지구 동천동 185-3번지,37.341283980000000,127.102054199999998,직장(업무시설),11698.890000000001237,0.000000000000000
삼성건설기술원,경기도 용인시 기흥구 공세로 150-20,경기도 용인시 기흥구 공세동 428-3번지,37.237188250000003,127.112601100000006,직장(업무시설),7582.098999999998341,0.000000000000000
조달청,경기도 용인시 수지구 손곡로 9,경기도 용인시 수지구 동천동 855번지,37.335373679999996,127.101606300000000,직장(업무시설),4034.592999999999847,0.000000000000000
삼성SDI(주)중앙연구소,경기도 용인시 기흥구 공세로 150-20,경기도 용인시 기흥구 공세동 428-5번지,37.237188250000003,127.112601100000006,직장(업무시설),7582.098999999998341,0.000000000000000
한국전자파연구원,경기도 용인시 처인구 양지면 중부대로2517번길 42-27,경기도 용인시 처인구 양지면 제일리 66-6번지,37.244130960000000,127.313168599999997,직장(업무시설),591.059999999999945,0.000000000000000
대웅경영개발원,경기도 용인시 처인구 포곡읍 두계로 72,경기도 용인시 처인구 포곡읍 삼계리 503-1번지,37.282430529999999,127.240504500000000,직장(업무시설),107.802999999999997,0.000000000000000
삼성전자(주),경기도 용인시 기흥구 농서로153번길 8,경기도 용인시 기흥구 농서동 128번지,37.224077299999998,127.079365600000003,직장(업무시설),1305.332999999999402,0.000000000000000
