,행정동,유소년,연봉,차량수,잠재수요지수,현재수요지수,잠재수요지수scaled,최종수요지수합
0,성복동,1.0,0.172143975,1.0,1.427069016,1.0,1.0,2.0
1,동천동,0.8525633988,0.161971831,0.941210744,1.25449791,0.9143959303,0.8548519895132186,1.7692479198132185
2,상현1동,0.8493797343,0.5273865415,0.8091738239,1.399996001,0.7620391142,0.977229129741286,1.739268243941286
3,죽전1동,0.8761664288,0.08920187793,0.9249679689,1.234194419,0.9530266651,0.8377749052150728,1.7908015703150728
4,역삼동,0.7305961137,0.3740219092,0.8777020334,1.223217905,0.7883482111,0.8285426576731217,1.6168908687731216
5,구갈동,0.5889779339,0.4538341158,0.7284274311,1.073593374,0.7149074145,0.7026948057466947,1.417602220246695
6,풍덕천2동,0.8162257108,0.0,0.5642985323,1.005897221,0.6639473207,0.6457561782248965,1.3097034989248963
7,상현2동,0.5651553409,0.5273865415,0.4574462308,0.9975492485,0.5987067498,0.6387347733787495,1.2374415231787497
8,구성동,0.608079921,0.1471048513,0.6382916739,0.900342783,0.6518940728,0.5569752865166966,1.2088693593166966
9,신봉동,0.6916236689,0.01408450704,0.5866107324,0.8962360926,0.6885632823,0.5535211860298795,1.2420844683298795
10,보라동,0.526182896,0.3873239437,0.5723358387,0.9231932284,0.6160884326,0.5761945913321088,1.192283023932109
11,영덕1동,0.5211329454,1.0,0.6825832022,1.278898571,0.3687119871,0.8753751667750739,1.244087153875074
12,유림동,0.5400153694,0.351486698,0.7104818505,0.964525093,0.5591698157,0.6109584521860748,1.1701282678860747
13,보정동,0.5851355802,0.338028169,0.6426032745,0.979719388,0.5272092446,0.6237382375227885,1.1509474821227883
14,신갈동,0.5136678011,0.1455399061,0.6338635437,0.8036154665,0.6158288278,0.4756188075838895,1.0914476353838896
15,동백1동,0.657152267,0.1737089202,0.4410515096,0.8971748417,0.5260001572,0.5543107594837997,1.0803109166838
16,마북동,0.4015808541,0.4507042254,0.455106916,0.7926744161,0.5494823267,0.466416388158035,1.015898714858035
17,풍덕천1동,0.4434076188,0.0,0.464717374,0.5996080002,0.6218759926,0.3040299562156073,0.9259059488156074
18,포곡읍,0.4053134263,0.1392801252,0.6938180971,0.7121056917,0.5417208432,0.3986507562096729,0.940371599409673
19,남사읍,0.4709627841,0.641627543,0.4732855561,0.9690382686,0.25690656,0.6147544437312498,0.8716610037312498
20,동백2동,0.5105939181,0.2237871674,0.3134389506,0.7341816353,0.3776614695,0.4172186345030321,0.7948801040030321
21,영덕2동,0.2268086508,0.8348982786,0.2603172233,0.7554133737,0.3244304418,0.4350764593693558,0.7595069011693558
22,모현읍,0.3107915249,0.1408450704,0.6083435297,0.5896809739,0.5335212495,0.2956804233714766,0.8292016728714766
23,동백3동,0.5414425294,0.1987480438,0.3056971526,0.7491990005,0.3206877504,0.4298496057708028,0.7505373561708029
24,기흥동,0.2753320891,0.848200313,0.3128823632,0.8286329078,0.1870051846,0.4966607532278192,0.6836659378278193
25,양지면,0.1947524426,0.5054773083,0.4105925537,0.59982249,0.3334228809,0.3042103616638966,0.6376332425638966
26,상하동,0.3026676913,0.1549295775,0.330769679,0.4957006273,0.4750209024,0.2166343962002296,0.6916552986002297
27,이동읍,0.2158304973,0.5399061033,0.4170016897,0.6412447625,0.254539358,0.3390502637922187,0.5935896217922187
28,서농동,0.4439565265,0.2527386541,0.3323428305,0.6891943223,0.2523399274,0.3793802087639276,0.6317201361639276
29,중앙동,0.2466791086,0.06338028169,0.4276058964,0.4238917225,0.3555204704,0.1562365700024033,0.5117570404024033
30,죽전2동,0.1921176858,0.08920187793,0.08505358894,0.2678344181,0.3141994734,0.0249781700267433,0.3391776434267434
31,동부동,0.08837413547,0.7445226917,0.08133776146,0.5090717339,0.1145895242,0.2278807141150994,0.3424702383150994
32,상갈동,0.1149412669,0.2331768388,0.0,0.2381370739,0.1908456084,0.0,0.1908456084
33,원삼면,0.01921176858,0.4773082942,0.01578978034,0.2766983516,0.1127353907,0.0324335450453871,0.1451689357453871
34,백암면,0.0,0.4694835681,0.05791528288,0.2675116812,0.0,0.0247067189128722,0.0247067189128722
