,행정동,LA,LO,아파트,count_cust,age_avg,완속최소설치개수,완속설치개수,부족개수,매매(억),세대수,총주차대수
0,포곡읍,37.26715561,127.2175833,신원2차아파트,599.384,9.649708988,4.0,0,4.0,3.0,296.0,296
1,포곡읍,37.270094,127.2123109,인정멜로디아파트,2412.584,8.585178093,15.0,0,15.0,2.3,831.0,824
2,포곡읍,37.26688749,127.2162226,금전마을계룡리슈빌,527.95,6.175949591,8.0,2,6.0,4.3,441.0,485
3,포곡읍,37.27363395,127.2211706,용인포곡삼성쉐르빌아파트,620.068,8.348546504,12.0,6,6.0,4.8,469.0,671
4,포곡읍,37.27220227,127.2102969,배머루마을 인정베네치아빌리지,170.366,8.569378948,7.0,0,7.0,3.47,347.0,422
5,포곡읍,37.29443226,127.238048,계수마을수목원우림필유,278.906,8.399673117,6.0,3,3.0,3.5,346.0,387
6,모현읍,37.33229742,127.2499251,풍산햇빛마을,536.502,9.352098047,5.0,0,5.0,3.2,330.0,330
7,이동읍,37.19219988,127.2043807,샘골마을풍성신미주아파트1단지,4476.335,8.222607583,15.0,5,10.0,3.2,800.0,804
8,이동읍,37.18915467,127.2051336,샘골마을풍성신미주아파트2단지,173.173,9.046024833,3.0,0,3.0,2.55,234.0,241
9,이동읍,37.20037134,127.2076064,한천마을 금광베네스타아파트,990.043,8.992959305,9.0,1,8.0,3.0,460.0,502
10,이동읍,37.20155084,127.2074871,에이스카운티아파트,2067.439,8.266752018,8.0,2,6.0,3.35,430.0,478
11,이동읍,37.13801446,127.2012178,송전마을 세광엔리치타워,214.485,8.400112391,18.0,10,8.0,3.0,782.0,997
12,양지면,37.23506236,127.2852413,양지마을 신원아침도시,72.338,8.182793306,2.0,0,2.0,3.5,156.0,160
13,중앙동,37.23511025,127.2011072,유메이드,46.407,4.745684918,1.0,0,1.0,8.5,299.0,149
14,중앙동,37.23392548,127.1982112,스위트홈아파트,964.936,8.743359258,1.0,0,1.0,1.85,168.0,134
15,중앙동,37.23329382,127.1975842,삼환아파트,59.371,5.314734581,2.0,0,2.0,3.8,180.0,180
16,중앙동,37.23232405,127.1975806,신우아파트,279.226,11.02543369,4.0,0,4.0,3.57,176.0,258
17,중앙동,37.23634795,127.1968012,김량장동 어울림아파트,990.678,9.639795473,10.0,7,3.0,4.1,484.0,554
18,중앙동,37.23465148,127.207236,용인웰메이드시티337,236.256,5.132110931,1.0,2,0.0,1.1,299.0,81
19,역삼동,37.24603031,127.1670833,풍림아파트,2221.337,10.0632658,6.0,2,4.0,3.0,377.0,399
20,역삼동,37.23907645,127.1716005,삼현마을진우아파트,1938.171,8.001478593,10.0,4,6.0,2.82,582.0,553
21,역삼동,37.24086864,127.1732889,금령마을우남퍼스트빌,4575.107,10.42806049,10.0,7,3.0,4.3,451.0,550
22,역삼동,37.23849446,127.1654565,용인 행정타운 두산위브 1단지,683.186,9.053006559,5.0,3,2.0,5.5,199.0,334
23,역삼동,37.23963733,127.1676868,용인 행정타운 두산위브 2단지,1134.71,8.685142438,15.0,8,7.0,5.1,624.0,844
24,역삼동,37.23928472,127.1699559,용인 행정타운 두산위브 3단지,1083.112,8.110973343,13.0,0,13.0,5.2,470.0,709
25,유림동,37.26384052,127.2168368,인정프린스아파트3차,100.182,8.645315526,2.0,0,2.0,2.35,380.0,171
26,유림동,37.2671558,127.2069263,성웅아파트,843.876,6.863834572,4.0,0,4.0,2.2,271.0,252
27,유림동,37.26541729,127.2261162,금평마을영화아파트,3953.09,9.900541206,9.0,4,5.0,3.2,428.0,536
28,유림동,37.26530998,127.2225884,보평마을삼정그린뷰아파트,1567.4,10.02786049,7.0,0,7.0,3.2,360.0,434
29,유림동,37.25813492,127.2369067,예원마을코아루아파트,2042.293,8.39757699,8.0,3,5.0,2.85,408.0,493
30,유림동,37.24891054,127.2206437,양우내안애에듀퍼스트,1541.568,6.55802496,23.0,10,13.0,5.0,1098.0,1217
31,유림동,37.24613711,127.2309453,인정피렌체빌리지1차아파트,4397.301,7.399591071,11.0,0,11.0,2.6,639.0,649
32,유림동,37.25263893,127.2272704,이삭아파트,917.901,8.940952601,5.0,0,5.0,2.8,300.0,317
33,유림동,37.24711555,127.2291603,예진마을인정피렌체빌리지II아파트,1646.698,7.023983653,9.0,0,9.0,3.47,416.0,515
34,유림동,37.25335971,127.2264201,임원마을아이닉스영화아파트,1140.477,7.09101789,11.0,6,5.0,3.5,513.0,648
35,유림동,37.24447282,127.2310889,인정피렌체빌리지3차아파트,3276.761,8.738560524,11.0,13,0.0,2.8,516.0,638
36,동부동,37.23195645,127.2142131,라이프아파트 101동,27.952,5.401831712,3.0,4,0.0,3.0,290.0,217
37,동부동,37.23491004,127.2150075,마평우성아파트,970.186,8.02017565,5.0,2,3.0,3.5,358.0,324
38,동부동,37.23540782,127.2166144,두보아파트,252.788,7.793318558,4.0,2,2.0,2.6,248.0,254
39,동부동,37.23565859,127.2146897,마평주공1단지아파트,523.817,8.491060705,9.0,0,9.0,3.5,639.0,518
40,동부동,37.23430752,127.2184012,용인GS자이아파트,3301.247,7.123924291,10.0,11,0.0,4.28,502.0,567
41,구갈동,37.27854164,127.11476,한성아파트,1468.649,8.368042913,8.0,0,8.0,6.7,570.0,450
42,구갈동,37.27674569,127.1148392,기흥동부아파트,300.083,9.482300286,2.0,1,1.0,8.15,200.0,185
43,구갈동,37.27618449,127.1131112,한성2차아파트,1296.026,7.276280475,1.0,0,1.0,6.1,384.0,126
44,구갈동,37.27883305,127.1125026,기흥구갈한양수자인아파트,1325.587,7.930220009,10.0,0,10.0,6.9,624.0,591
45,구갈동,37.27628417,127.1115362,기흥우림아파트,333.767,9.313175873,1.0,0,1.0,5.3,150.0,106
46,구갈동,37.27066615,127.1320195,강남마을자연&아이원4단지아파트,1596.819,8.508629675,21.0,9,12.0,6.5,781.0,1101
47,구갈동,37.26945603,127.1335609,계룡리슈빌7단지아파트,2035.344,8.162422574,10.0,5,5.0,5.45,528.0,555
48,구갈동,37.27358193,127.114719,기흥역지웰푸르지오,2819.35,9.120168178,11.0,17,0.0,6.8,561.0,640
49,구갈동,37.27461282,127.1149482,기흥역롯데캐슬레이시티,321.572,8.45314948,5.0,6,0.0,8.7,260.0,310
50,구갈동,37.27853654,127.1181175,세종그랑시아2차아파트,872.397,7.700973642,3.0,0,3.0,7.05,194.0,236
51,보라동,37.25470172,127.1124531,삼정선비마을아파트,192.552,7.934121097,3.0,4,0.0,4.8,299.0,243
52,보라동,37.25189545,127.1061301,보라삼성래미안아파트,731.36,7.536840285,6.0,4,2.0,4.6,370.0,373
53,보라동,37.25320042,127.1170272,쌍용스윗닷홀아파트,7872.539,8.744379341,54.0,0,54.0,5.8,1596.0,2776
54,보라동,37.25231102,127.1224538,민속마을신창미션힐아파트,4091.433,8.443542547,29.0,31,0.0,5.6,926.0,1534
55,보라동,37.25282056,127.1065671,보라마을 현대모닝사이드2차아파트,1412.1,9.124227756,23.0,8,15.0,5.5,771.0,1234
56,보라동,37.25069589,127.1196293,민속마을 현대모닝사이드아파트,5671.259,8.890919247,34.0,5,29.0,5.1,1112.0,1770
